contrast,estimate,SE,z.ratio,p.value
de - ra,0.162525403,0.31162582,0.521540236,0.995348083
de - rra,-0.146262143,0.282209732,-0.518274624,0.995483558
de - rt,-0.057707451,0.302803001,-0.190577541,0.999965501
ra - rra,-0.308787546,0.296288297,-1.042186106,0.903676788
ra - rt,-0.220232855,0.31597307,-0.696998814,0.982334579
rra - rt,0.088554691,0.28699625,0.308556963,0.99962848
t2c - de,0.558429492,0.236801204,2.35822066,0.17117919
t2c - ra,0.720954896,0.253185606,2.847535086,0.050306715
t2c - rra,0.41216735,0.216253302,1.905947078,0.398358584
t2c - rt,0.500722041,0.242499246,2.06483958,0.305893073
ts - de,0.35033408,0.260293859,1.345917578,0.759228876
ts - ra,0.512859483,0.275418743,1.862108138,0.425771195
ts - rra,0.204071937,0.241732116,0.844206969,0.959192192
ts - rt,0.292626629,0.265479398,1.102257389,0.880652491
ts - t2c,-0.208095412,0.18621711,-1.11748814,0.874353369