Bat_ID,bat_name,video_ID,trial_name,trial_name_2,primary_stim,trial_number,sm_tw_trial,md_tw_trial,lg_tw_trial,Orienting_trial,Flying_trial,Approach_trial,Grooming_trial,Landing_trial,Yawning_trial,set_num,Landing_set,Approach_set,Orienting_set,all_tw_set,mdlg_tw_set,lg_tw_set,md_tw__set,sm_tw_set,Flying_set,Grooming_set,Yawning_set,Ordinal3
Bat17,Boba_Bat,M2U02404,ti1_ti4_ti1,tia_tib_tia,t1c,2,6,0,0,10,0,0,5,0,8,5,0,0,2,1,0,0,0,1,0,0,0,1
Bat17,Boba_Bat,M2U02404,ti1_ti4_ti1,tia_tib_tia,t1c,2,6,0,0,10,0,0,5,0,8,6,0,0,1,0,0,0,0,0,0,0,8,0
Bat17,Boba_Bat,M2U02404,ti1_ti4_ti1,tia_tib_tia,t1c,2,6,0,0,10,0,0,5,0,8,7,0,0,1,0,0,0,0,0,0,2,0,0
Bat15,Captain_Henry_Morgan,M2U02373,ti3_ti4_ti3,tia_tib_tia,t1c,3,20,0,1,1,0,0,1,0,7,5,0,0,0,2,0,0,0,2,0,1,0,1
Bat15,Captain_Henry_Morgan,M2U02373,ti3_ti4_ti3,tia_tib_tia,t1c,3,20,0,1,1,0,0,1,0,7,6,0,0,1,4,0,0,0,4,0,0,7,1
Bat15,Captain_Henry_Morgan,M2U02373,ti3_ti4_ti3,tia_tib_tia,t1c,3,20,0,1,1,0,0,1,0,7,7,0,0,0,3,0,0,0,3,0,0,0,1
Bat14,Captain_Isaac,M2U02366,ti2_ti4_ti2,tia_tib_tia,t1c,6,18,2,36,7,0,0,0,0,19,5,0,0,1,6,6,6,0,0,0,0,8,2
Bat14,Captain_Isaac,M2U02366,ti2_ti4_ti2,tia_tib_tia,t1c,6,18,2,36,7,0,0,0,0,19,6,0,0,2,8,3,3,0,5,0,0,0,2
Bat14,Captain_Isaac,M2U02366,ti2_ti4_ti2,tia_tib_tia,t1c,6,18,2,36,7,0,0,0,0,19,7,0,0,1,2,0,0,0,2,0,0,7,1
Bat18,Duke,M2U02429,ti2_ti3_ti2,tia_tib_tia,t1c,9,4,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Bat18,Duke,M2U02429,ti2_ti3_ti2,tia_tib_tia,t1c,9,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bat18,Duke,M2U02429,ti2_ti3_ti2,tia_tib_tia,t1c,9,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat9,Florecito,M2U02290,ti3_ti4_ti3,tia_tib_tia,t1c,7,0,3,39,2,4,0,0,0,0,5,0,0,0,5,5,2,3,0,0,0,0,2
Bat9,Florecito,M2U02290,ti3_ti4_ti3,tia_tib_tia,t1c,7,0,3,39,2,4,0,0,0,0,6,0,0,1,8,8,8,0,0,0,0,0,2
Bat9,Florecito,M2U02290,ti3_ti4_ti3,tia_tib_tia,t1c,7,0,3,39,2,4,0,0,0,0,7,0,0,0,8,8,8,0,0,0,0,0,2
Bat10,Insor,M2U02317,ti1_ti2_ti1,tia_tib_tia,t1c,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat10,Insor,M2U02317,ti1_ti2_ti1,tia_tib_tia,t1c,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bat10,Insor,M2U02317,ti1_ti2_ti1,tia_tib_tia,t1c,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat2,Jesper,M2U02187,ti1_ti2_ti1,tia_tib_tia,t1c,6,20,0,7,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat2,Jesper,M2U02187,ti1_ti2_ti1,tia_tib_tia,t1c,6,20,0,7,8,0,0,0,0,0,6,0,0,1,1,0,0,0,1,0,0,0,1
Bat2,Jesper,M2U02187,ti1_ti2_ti1,tia_tib_tia,t1c,6,20,0,7,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat11,Linus,M2U02320,ti1_ti4_ti1,tia_tib_tia,t1c,3,7,0,10,7,5,2,0,0,8,5,0,0,0,3,3,3,0,0,1,0,0,2
Bat11,Linus,M2U02320,ti1_ti4_ti1,tia_tib_tia,t1c,3,7,0,10,7,5,2,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0
Bat11,Linus,M2U02320,ti1_ti4_ti1,tia_tib_tia,t1c,3,7,0,10,7,5,2,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat13,Paris,M2U02360,ti3_ti4_ti3,tia_tib_tia,t1c,10,22,0,15,6,2,0,3,0,6,5,0,0,2,9,1,1,0,8,1,0,6,2
Bat13,Paris,M2U02360,ti3_ti4_ti3,tia_tib_tia,t1c,10,22,0,15,6,2,0,3,0,6,6,0,0,0,4,2,2,0,2,1,0,0,2
Bat13,Paris,M2U02360,ti3_ti4_ti3,tia_tib_tia,t1c,10,22,0,15,6,2,0,3,0,6,7,0,0,1,2,2,2,0,0,0,0,0,2
Bat19,Sir_Frances_Drake,M2U02437,ti2_ti4_ti2,tia_tib_tia,t1c,6,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat19,Sir_Frances_Drake,M2U02437,ti2_ti4_ti2,tia_tib_tia,t1c,6,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
Bat19,Sir_Frances_Drake,M2U02437,ti2_ti4_ti2,tia_tib_tia,t1c,6,2,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat12,Vila,M2U02340,ti2_ti3_ti2,tia_tib_tia,t1c,4,24,0,2,6,7,0,0,0,0,5,0,0,0,2,0,0,0,2,1,0,0,1
Bat12,Vila,M2U02340,ti2_ti3_ti2,tia_tib_tia,t1c,4,24,0,2,6,7,0,0,0,0,6,0,0,0,2,0,0,0,2,1,0,0,1
Bat12,Vila,M2U02340,ti2_ti3_ti2,tia_tib_tia,t1c,4,24,0,2,6,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
Bat1,Wramplemeier,M2U02133,ti1_ti2_ti1,tia_tib_tia,t1c,7,3,7,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
Bat1,Wramplemeier,M2U02133,ti1_ti2_ti1,tia_tib_tia,t1c,7,3,7,1,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
Bat1,Wramplemeier,M2U02133,ti1_ti2_ti1,tia_tib_tia,t1c,7,3,7,1,0,5,0,0,0,0,7,0,0,0,2,0,0,0,2,1,0,0,1